0 14 28
261.0 48 66
262.5 132 149
262.5 132 150
264.0 179 185
264.0 179 186
265.5 62 67
265.5 62 68
267.0 45 68
267.0 45 69
268.5 173 195
268.5 173 196
270.0 50 73
270.0 50 74
271.5 134 150
271.5 134 151
273.0 142 147
273.0 142 148
274.5 96 109
274.5 96 110
276.0 14 20
276.0 14 21
277.5 53 78
277.5 54 55
279.0 161 190
279.0 161 191
280.5 165 191
280.5 165 192
282.0 134 148
282.0 134 149
283.5 25 29
283.5 25 30
285.0 114 115
285.0 115 116
286.5 67 70
286.5 67 71
288.0 125 158
288.0 125 159
289.5 173 183
289.5 173 184
291.0 67 68
291.0 67 69
292.5 49 58
292.5 49 59
294.0 186 188
294.0 186 189
295.5 83 120
295.5 84 85
297.0 128 155
297.0 128 156
298.5 4 24
298.5 4 25
300.0 90 93
300.0 90 94
301.5 134 142
301.5 134 143
303.0 20 27
303.0 20 28
304.5 122 158
304.5 122 159
306.0 49 76
306.0 49 77
307.5 96 107
307.5 96 108
309.0 83 108
309.0 83 109
310.5 123 160
310.5 124 125
312.0 166 178
312.0 166 179
313.5 16 21
313.5 16 22
315.0 134 154
315.0 134 155
316.5 52 57
316.5 52 58
318.0 134 156
318.0 134 157
319.5 170 196
319.5 170 197
321.0 56 57
321.0 56 58
322.5 136 143
322.5 136 144
324.0 9 38
324.0 9 39
325.5 89 108
325.5 89 109
327.0 94 102
327.0 94 103
328.5 47 62
328.5 47 63
330.0 56 77
330.0 57 58
331.5 130 133
331.5 130 134
333.0 126 160
333.0 127 128
334.5 61 67
334.5 61 68
336.0 174 193
336.0 174 194
337.5 173 187
337.5 173 188
339.0 24 25
339.0 24 26
340.5 90 111
340.5 90 112
342.0 170 180
342.0 170 181
343.5 5 24
343.5 5 25
345.0 56 63
345.0 56 64
346.5 177 180
346.5 177 181
348.0 89 118
348.0 89 119
349.5 183 193
349.5 184 185
351.0 6 40
351.0 7 8
352.5 127 148
352.5 127 149
354.0 4 26
354.0 4 27
355.5 13 32
355.5 13 33
357.0 58 63
357.0 58 64
358.5 120 157
358.5 120 158
360.0 15 18
360.0 15 19
361.5 70 71
361.5 71 72
363.0 163 164
363.0 163 184
364.5 132 153
364.5 132 154
366.0 167 197
366.0 167 198
367.5 16 31
367.5 16 32
369.0 9 14
369.0 9 15
370.5 100 107
370.5 100 108
372.0 11 13
372.0 11 14
373.5 45 62
373.5 45 63
375.0 41 75
375.0 41 76
376.5 49 62
376.5 49 63
378.0 90 109
378.0 90 110
379.5 44 64
379.5 44 65
381.0 122 150
381.0 122 151
382.5 9 24
382.5 9 25
384.0 5 20
384.0 5 21
385.5 90 119
385.5 91 92
387.0 18 19
387.0 18 20
388.5 133 136
388.5 133 137
390.0 147 148
390.0 147 149
391.5 19 34
391.5 19 35
393.0 172 178
393.0 172 179
394.5 99 110
394.5 99 111
396.0 45 64
396.0 45 65
397.5 63 64
397.5 63 65
399.0 132 135
399.0 132 136
400.5 2 28
400.5 2 29
402.0 85 118
402.0 85 119
403.5 89 102
403.5 89 103
405.0 45 70
405.0 45 71
406.5 19 28
406.5 19 29
408.0 4 30
408.0 4 31
409.5 174 177
409.5 174 178
411.0 59 72
411.0 59 73
412.5 97 109
412.5 97 110
414.0 181 190
414.0 181 191
415.5 170 178
415.5 170 179
417.0 168 190
417.0 168 191
418.5 44 80
418.5 45 46
420.0 126 154
420.0 126 155
421.5 13 20
421.5 13 21
423.0 55 62
423.0 55 63
424.5 133 156
424.5 133 157
426.0 52 63
426.0 52 64
427.5 61 63
427.5 61 64
429.0 195 196
429.0 196 197
430.5 182 194
430.5 183 184
432.0 81 115
432.0 81 116
433.5 90 115
433.5 90 116
435.0 135 136
435.0 135 137
436.5 56 75
436.5 56 76
438.0 32 33
438.0 33 34
439.5 170 182
439.5 170 183
441.0 166 180
441.0 166 181
442.5 25 27
442.5 25 28
444.0 127 154
444.0 127 155
445.5 179 189
445.5 179 190
447.0 15 26
447.0 15 27
448.5 46 68
448.5 46 69
450.0 53 68
450.0 53 69
451.5 12 15
451.5 12 16
453.0 132 141
453.0 132 142
454.5 82 116
454.5 82 117
456.0 146 151
456.0 146 152
457.5 59 74
457.5 59 75
459.0 44 72
459.0 44 73
460.5 47 68
460.5 47 69
462.0 181 194
462.0 182 183
463.5 4 22
463.5 4 23
465.0 63 68
465.0 63 69
466.5 125 152
466.5 125 153
468.0 93 114
468.0 93 115
469.5 181 186
469.5 181 187
471.0 15 36
471.0 15 37
472.5 95 98
472.5 95 99
474.0 66 67
474.0 66 68
475.5 48 77
475.5 48 78
477.0 174 189
477.0 174 190
478.5 13 26
478.5 13 27
480.0 94 106
480.0 94 107
481.5 15 34
481.5 15 35
483.0 46 72
483.0 46 73
484.5 130 145
484.5 130 146
486.0 139 154
486.0 139 155
487.5 7 30
487.5 7 31
489.0 87 100
489.0 87 101
490.5 8 21
490.5 8 22
492.0 57 61
492.0 57 62
493.5 82 110
493.5 82 111
495.0 128 137
495.0 128 138
496.5 8 27
496.5 8 28
498.0 101 105
498.0 101 106
499.5 94 100
499.5 94 101
501.0 95 114
501.0 95 115
502.5 137 141
502.5 137 142
504.0 81 82
504.0 81 110
505.5 11 31
505.5 11 32
507.0 123 150
507.0 123 151
508.5 47 66
508.5 47 67
510.0 17 23
510.0 17 24
511.5 138 153
511.5 138 154
513.0 98 115
513.0 98 116
514.5 123 144
514.5 123 145
516.0 170 176
516.0 170 177
517.5 10 17
517.5 10 18
519.0 1 31
519.0 1 32
520.5 4 34
520.5 4 35
522.0 93 112
522.0 93 113
523.5 10 35
523.5 10 36
525.0 85 104
525.0 85 105
526.5 74 75
526.5 75 76
528.0 19 26
528.0 19 27
529.5 92 97
529.5 92 98
531.0 15 20
531.0 15 21
532.5 97 101
532.5 97 102
534.0 182 186
534.0 182 187
535.5 169 193
535.5 169 194
537.0 57 65
537.0 57 66
538.5 103 112
538.5 103 113
540.0 170 198
540.0 170 199
541.5 54 76
541.5 54 77
543.0 91 115
543.0 91 116
544.5 178 184
544.5 178 185
546.0 50 65
546.0 50 66
547.5 54 58
547.5 54 59
549.0 42 80
549.0 43 44
550.5 13 22
550.5 13 23
552.0 43 72
552.0 43 73
553.5 48 57
553.5 48 58
555.0 47 78
555.0 47 79
556.5 167 168
556.5 167 176
558.0 18 21
558.0 18 22
559.5 175 195
559.5 175 196
561.0 122 152
561.0 122 153
562.5 178 182
562.5 178 183
564.0 98 107
564.0 98 108
565.5 95 106
565.5 95 107
567.0 105 109
567.0 105 110
568.5 93 98
568.5 93 99
570.0 177 194
570.0 177 195
571.5 87 112
571.5 87 113
573.0 98 113
573.0 98 114
574.5 116 117
574.5 117 118
576.0 136 139
576.0 136 140
577.5 127 140
577.5 127 141
579.0 131 137
579.0 131 138
580.5 95 100
580.5 95 101
582.0 54 64
582.0 54 65
583.5 182 190
583.5 182 191
585.0 178 192
585.0 178 193
586.5 6 20
586.5 6 21
588.0 20 23
588.0 20 24
589.5 95 102
589.5 95 103
591.0 125 156
591.0 125 157
592.5 89 110
592.5 89 111
594.0 96 117
594.0 97 98
595.5 68 69
595.5 68 70
597.0 93 106
597.0 93 107
598.5 173 193
598.5 173 194
600.0 60 67
600.0 60 68
601.5 53 72
601.5 53 73
603.0 138 143
603.0 138 144
604.5 142 149
604.5 142 150
606.0 84 110
606.0 84 111
607.5 81 113
607.5 81 114
609.0 100 113
609.0 100 114
610.5 144 153
610.5 145 146
612.0 127 136
612.0 127 137
613.5 27 28
613.5 27 29
615.0 130 159
615.0 131 132
616.5 105 107
616.5 105 108
618.0 83 104
618.0 83 105
619.5 87 106
619.5 87 107
621.0 88 113
621.0 88 114
622.5 193 194
622.5 194 195
624.0 163 185
624.0 163 186
625.5 92 115
625.5 92 116
627.0 28 29
627.0 28 30
628.5 53 56
628.5 53 57
630.0 132 139
630.0 132 140
631.5 48 67
631.5 48 68
633.0 84 106
633.0 84 107
634.5 72 73
634.5 73 74
636.0 92 93
636.0 92 94
637.5 175 179
637.5 175 180
639.0 88 89
639.0 88 94
640.5 128 157
640.5 128 158
642.0 165 187
642.0 165 188
643.5 188 190
643.5 188 191
645.0 5 32
645.0 5 33
646.5 137 149
646.5 137 150
648.0 88 95
648.0 88 96
649.5 12 37
649.5 12 38
651.0 132 155
651.0 132 156
652.5 14 30
652.5 14 31
654.0 80 115
654.0 80 116
655.5 127 138
655.5 127 139
657.0 43 64
657.0 43 65
658.5 162 163
658.5 162 187
660.0 9 12
660.0 9 13
661.5 131 143
661.5 131 144
663.0 56 61
663.0 56 62
664.5 93 116
664.5 93 117
666.0 11 21
666.0 11 22
667.5 13 30
667.5 13 31
669.0 127 158
669.0 127 159
670.5 127 156
670.5 127 157
672.0 130 147
672.0 130 148
673.5 48 69
673.5 48 70
675.0 172 180
675.0 172 181
676.5 175 189
676.5 175 190
678.0 173 175
678.0 173 176
679.5 162 188
679.5 162 189
681.0 94 108
681.0 94 109
682.5 126 150
682.5 126 151
684.0 45 66
684.0 45 67
685.5 130 155
685.5 130 156
687.0 148 151
687.0 149 150
688.5 126 146
688.5 126 147
690.0 139 142
690.0 139 143
691.5 65 67
691.5 65 68
693.0 54 72
693.0 54 73
694.5 124 146
694.5 124 147
696.0 6 26
696.0 6 27
697.5 46 62
697.5 46 63
699.0 163 187
699.0 163 188
700.5 143 150
700.5 143 151
702.0 91 107
702.0 91 108
703.5 82 83
703.5 82 107
705.0 42 43
705.0 42 67
706.5 78 79
706.5 79 80
708.0 18 33
708.0 18 34
709.5 14 16
709.5 14 17
711.0 164 184
711.0 164 185
712.5 7 28
712.5 7 29
714.0 24 31
714.0 24 32
715.5 88 109
715.5 88 110
717.0 13 14
717.0 13 15
718.5 93 96
718.5 93 97
720.0 86 100
720.0 86 101
721.5 91 93
721.5 91 94
723.0 92 113
723.0 92 114
724.5 6 22
724.5 6 23
726.0 128 159
726.0 129 130
727.5 58 59
727.5 58 60
729.0 136 145
729.0 136 146
730.5 148 149
730.5 148 150
732.0 49 70
732.0 49 71
733.5 133 146
733.5 133 147
735.0 59 64
735.0 59 65
736.5 175 181
736.5 175 182
738.0 64 69
738.0 64 70
739.5 184 188
739.5 184 189
741.0 129 138
741.0 129 139
742.5 11 17
742.5 11 18
744.0 46 70
744.0 46 71
745.5 135 140
745.5 135 141
747.0 83 116
747.0 83 117
748.5 129 146
748.5 129 147
750.0 47 72
750.0 47 73
751.5 51 65
751.5 51 66
753.0 176 194
753.0 176 195
754.5 105 111
754.5 105 112
756.0 16 19
756.0 16 20
757.5 189 190
757.5 190 191
759.0 56 69
759.0 56 70
760.5 55 72
760.5 55 73
762.0 30 31
762.0 31 32
763.5 10 33
763.5 10 34
765.0 165 199
765.0 166 167
766.5 84 116
766.5 84 117
768.0 48 73
768.0 48 74
769.5 4 32
769.5 4 33
771.0 49 72
771.0 49 73
772.5 57 75
772.5 57 76
774.0 171 176
774.0 171 177
775.5 87 96
775.5 87 97
777.0 143 144
777.0 143 145
778.5 11 37
778.5 11 38
780.0 97 115
780.0 97 116
781.5 135 142
781.5 135 143
783.0 130 143
783.0 130 144
784.5 169 173
784.5 169 174
786.0 123 154
786.0 123 155
787.5 152 153
787.5 153 154
789.0 172 196
789.0 172 197
790.5 133 154
790.5 133 155
792.0 168 196
792.0 168 197
793.5 20 33
793.5 20 34
795.0 89 112
795.0 89 113
796.5 102 113
796.5 102 114
798.0 180 190
798.0 180 191
799.5 129 148
799.5 129 149
801.0 91 105
801.0 91 106
802.5 50 71
802.5 50 72
804.0 0 35
804.0 0 36
805.5 170 188
805.5 170 189
807.0 61 71
807.0 61 72
808.5 166 192
808.5 166 193
810.0 16 27
810.0 16 28
811.5 1 33
811.5 1 34
813.0 13 16
813.0 13 17
814.5 162 190
814.5 162 191
816.0 62 73
816.0 62 74
817.5 3 40
817.5 4 5
819.0 86 102
819.0 86 103
820.5 9 26
820.5 9 27
822.0 121 157
822.0 121 158
823.5 9 36
823.5 9 37
825.0 174 179
825.0 174 180
826.5 137 145
826.5 137 146
828.0 184 186
828.0 184 187
829.5 10 37
829.5 10 38
831.0 46 58
831.0 46 59
832.5 41 42
832.5 41 70
834.0 55 76
834.0 55 77
835.5 96 111
835.5 96 112
837.0 184 190
837.0 184 191
838.5 186 192
838.5 187 188
840.0 6 38
840.0 6 39
841.5 137 155
841.5 137 156
843.0 167 181
843.0 167 182
844.5 60 73
844.5 60 74
846.0 124 144
846.0 124 145
847.5 191 192
847.5 192 193
849.0 162 196
849.0 162 197
850.5 89 98
850.5 89 99
852.0 96 115
852.0 96 116
853.5 175 191
853.5 175 192
855.0 130 137
855.0 130 138
856.5 9 32
856.5 9 33
858.0 90 97
858.0 90 98
859.5 133 138
859.5 133 139
861.0 176 188
861.0 176 189
862.5 27 30
862.5 27 31
864.0 88 107
864.0 88 108
865.5 48 63
865.5 48 64
867.0 6 18
867.0 6 19
868.5 106 107
868.5 106 108
870.0 130 157
870.0 130 158
871.5 59 70
871.5 59 71
873.0 87 118
873.0 87 119
874.5 136 147
874.5 136 148
876.0 84 118
876.0 84 119
877.5 172 176
877.5 172 177
879.0 49 64
879.0 49 65
880.5 135 148
880.5 135 149
882.0 50 57
882.0 50 58
883.5 47 58
883.5 47 59
885.0 52 53
885.0 52 54
886.5 171 196
886.5 171 197
888.0 169 189
888.0 169 190
889.5 21 29
889.5 21 30
891.0 137 151
891.0 137 152
892.5 51 77
892.5 51 78
894.0 128 153
894.0 128 154
895.5 171 186
895.5 171 187
897.0 88 111
897.0 88 112
898.5 53 62
898.5 53 63
900.0 130 153
900.0 130 154
901.5 185 190
901.5 185 191
903.0 127 152
903.0 127 153
904.5 173 181
904.5 173 182
906.0 183 187
906.0 183 188
907.5 82 120
907.5 83 84
909.0 66 69
909.0 66 70
910.5 178 190
910.5 178 191
912.0 182 188
912.0 182 189
913.5 166 182
913.5 166 183
915.0 104 113
915.0 105 106
916.5 140 145
916.5 140 146
918.0 128 139
918.0 128 140
919.5 169 170
919.5 169 172
921.0 51 73
921.0 51 74
922.5 173 177
922.5 173 178
924.0 65 69
924.0 65 70
925.5 167 199
925.5 168 169
927.0 130 139
927.0 130 140
928.5 54 56
928.5 54 57
930.0 141 143
930.0 141 144
931.5 174 197
931.5 175 176
933.0 52 73
933.0 52 74
934.5 94 96
934.5 94 97
936.0 137 153
936.0 137 154
937.5 18 35
937.5 18 36
939.0 174 181
939.0 174 182
940.5 161 192
940.5 161 193
942.0 7 38
942.0 7 39
943.5 112 113
943.5 113 114
945.0 84 114
945.0 84 115
946.5 55 74
946.5 55 75
948.0 3 30
948.0 3 31
949.5 102 109
949.5 102 110
951.0 176 186
951.0 176 187
952.5 89 114
952.5 89 115
954.0 167 183
954.0 167 184
955.5 165 166
955.5 165 180
957.0 139 150
957.0 139 151
958.5 40 77
958.5 40 78
960.0 166 198
960.0 166 199
961.5 57 63
961.5 57 64
963.0 11 23
963.0 11 24
964.5 82 108
964.5 82 109
966.0 16 35
966.0 16 36
967.5 174 187
967.5 174 188
969.0 98 109
969.0 98 110
970.5 6 28
970.5 6 29
972.0 6 34
972.0 6 35
973.5 13 24
973.5 13 25
975.0 8 15
975.0 8 16
976.5 185 192
976.5 186 187
978.0 10 23
978.0 10 24
979.5 4 36
979.5 4 37
981.0 42 68
981.0 42 69
982.5 104 109
982.5 104 110
984.0 182 192
984.0 182 193
985.5 15 24
985.5 15 25
987.0 170 190
987.0 170 191
988.5 134 136
988.5 134 137
990.0 25 31
990.0 25 32
991.5 133 142
991.5 133 143
993.0 167 187
993.0 167 188
994.5 17 31
994.5 17 32
996.0 95 110
996.0 95 111
997.5 131 153
997.5 131 154
999.0 56 59
999.0 56 60
1000.5 12 23
1000.5 12 24
1002.0 14 32
1002.0 14 33
1003.5 132 157
1003.5 132 158
1005.0 62 65
1005.0 62 66
1006.5 85 116
1006.5 85 117
1008.0 138 141
1008.0 138 142
1009.5 180 182
1009.5 180 183
1011.0 167 195
1011.0 167 196
1012.5 177 178
1012.5 177 179
1014.0 19 30
1014.0 19 31
1015.5 179 195
1015.5 180 181
1017.0 87 98
1017.0 87 99
1018.5 171 194
1018.5 171 195
1020.0 124 150
1020.0 124 151
1021.5 134 152
1021.5 134 153
1023.0 178 196
1023.0 179 180
1024.5 49 68
1024.5 49 69
1026.0 164 196
1026.0 164 197
1027.5 171 184
1027.5 171 185
1029.0 136 153
1029.0 136 154
1030.5 21 25
1030.5 21 26
1032.0 183 191
1032.0 183 192
1033.5 163 199
1033.5 164 165
1035.0 90 113
1035.0 90 114
1036.5 162 194
1036.5 162 195
1038.0 87 116
1038.0 87 117
1039.5 168 192
1039.5 168 193
1041.0 167 177
1041.0 167 178
1042.5 46 66
1042.5 46 67
1044.0 86 112
1044.0 86 113
1045.5 160 199
1045.5 161 162
1047.0 164 190
1047.0 164 191
1048.5 51 55
1048.5 51 56
1050.0 130 135
1050.0 130 136
1051.5 143 146
1051.5 143 147
1053.0 7 34
1053.0 7 35
1054.5 90 117
1054.5 90 118
1056.0 5 36
1056.0 5 37
1057.5 187 191
1057.5 188 189
1059.0 13 38
1059.0 14 15
1060.5 51 61
1060.5 51 62
1062.0 172 182
1062.0 172 183
1063.5 176 182
1063.5 176 183
1065.0 49 52
1065.0 49 53
1066.5 132 143
1066.5 132 144
1068.0 103 108
1068.0 103 109
1069.5 135 138
1069.5 135 139
1071.0 143 148
1071.0 143 149
1072.5 142 143
1072.5 142 144
1074.0 136 141
1074.0 136 142
1075.5 17 21
1075.5 17 22
1077.0 53 58
1077.0 53 59
1078.5 140 151
1078.5 140 152
1080.0 91 117
1080.0 91 118
1081.5 49 74
1081.5 49 75
1083.0 141 151
1083.0 141 152
1084.5 96 105
1084.5 96 106
1086.0 170 172
1086.0 170 173
1087.5 90 107
1087.5 90 108
1089.0 165 181
1089.0 165 182
1090.5 64 71
1090.5 64 72
1092.0 26 31
1092.0 26 32
1093.5 45 74
1093.5 45 75
1095.0 10 39
1095.0 11 12
1096.5 83 112
1096.5 83 113
1098.0 173 179
1098.0 173 180
1099.5 93 100
1099.5 93 101
1101.0 84 108
1101.0 84 109
1102.5 123 158
1102.5 123 159
1104.0 102 111
1104.0 102 112
1105.5 8 35
1105.5 8 36
1107.0 179 191
1107.0 179 192
1108.5 15 28
1108.5 15 29
1110.0 103 104
1110.0 103 105
1111.5 17 35
1111.5 17 36
1113.0 166 188
1113.0 166 189
1114.5 171 180
1114.5 171 181
1116.0 169 199
1116.0 170 171
1117.5 185 186
1117.5 185 187
1119.0 172 186
1119.0 172 187
1120.5 177 182
1120.5 177 183
1122.0 156 157
1122.0 157 158
1123.5 1 35
1123.5 1 36
1125.0 14 36
1125.0 14 37
1126.5 54 68
1126.5 54 69
1128.0 126 140
1128.0 126 141
1129.5 92 99
1129.5 92 100
1131.0 9 30
1131.0 9 31
1132.5 118 119
1132.5 119 120
1134.0 60 69
1134.0 60 70
1135.5 51 67
1135.5 51 68
1137.0 166 184
1137.0 166 185
1138.5 92 105
1138.5 92 106
1140.0 171 192
1140.0 171 193
1141.5 183 189
1141.5 183 190
1143.0 135 144
1143.0 135 145
1144.5 85 106
1144.5 85 107
1146.0 18 25
1146.0 18 26
1147.5 19 20
1147.5 19 21
1149.0 172 194
1149.0 172 195
1150.5 15 32
1150.5 15 33
1152.0 24 33
1152.0 25 26
1153.5 5 38
1153.5 5 39
1155.0 46 64
1155.0 46 65
1156.5 174 175
1156.5 174 176
1158.0 131 151
1158.0 131 152
1159.5 179 181
1159.5 179 182
1161.0 180 192
1161.0 180 193
1162.5 172 192
1162.5 172 193
1164.0 7 36
1164.0 7 37
1165.5 163 189
1165.5 163 190
1167.0 139 140
1167.0 139 141
1168.5 3 24
1168.5 3 25
1170.0 197 198
1170.0 198 199
1171.5 8 29
1171.5 8 30
1173.0 97 103
1173.0 97 104
1174.5 167 189
1174.5 167 190
1176.0 45 78
1176.0 45 79
1177.5 50 77
1177.5 50 78
1179.0 19 24
1179.0 19 25
1180.5 7 24
1180.5 7 25
1182.0 142 151
1182.0 142 152
1183.5 83 110
1183.5 83 111
1185.0 171 190
1185.0 171 191
1186.5 88 105
1186.5 88 106
1188.0 108 111
1188.0 109 110
1189.5 164 192
1189.5 164 193
1191.0 177 196
1191.0 178 179
1192.5 47 74
1192.5 47 75
1194.0 92 107
1194.0 92 108
1195.5 133 152
1195.5 133 153
1197.0 62 63
1197.0 62 64
1198.5 135 156
1198.5 135 157
1200.0 164 186
1200.0 164 187
1201.5 174 183
1201.5 174 184
1203.0 56 73
1203.0 56 74
1204.5 41 77
1204.5 41 78
1206.0 64 73
1206.0 65 66
1207.5 95 116
1207.5 95 117
1209.0 1 37
1209.0 1 38
1210.5 44 70
1210.5 44 71
1212.0 128 129
1212.0 128 134
1213.5 18 27
1213.5 18 28
1215.0 6 32
1215.0 6 33
1216.5 160 197
1216.5 160 198
1218.0 91 113
1218.0 91 114
1219.5 175 185
1219.5 175 186
1221.0 163 191
1221.0 163 192
1222.5 50 79
1222.5 51 52
1224.0 59 60
1224.0 59 61
1225.5 172 184
1225.5 172 185
1227.0 51 63
1227.0 51 64
1228.5 179 193
1228.5 179 194
1230.0 13 28
1230.0 13 29
1231.5 94 114
1231.5 94 115
1233.0 18 29
1233.0 18 30
1234.5 54 66
1234.5 54 67
1236.0 101 111
1236.0 101 112
1237.5 84 120
1237.5 85 86
1239.0 51 71
1239.0 51 72
1240.5 8 31
1240.5 8 32
1242.0 150 151
1242.0 151 152
1243.5 43 70
1243.5 43 71
1245.0 135 154
1245.0 135 155
1246.5 94 98
1246.5 94 99
1248.0 10 25
1248.0 10 26
1249.5 2 38
1249.5 2 39
1251.0 55 70
1251.0 55 71
1252.5 169 185
1252.5 169 186
1254.0 169 195
1254.0 169 196
1255.5 24 27
1255.5 24 28
1257.0 45 80
1257.0 46 47
1258.5 164 194
1258.5 164 195
1260.0 163 193
1260.0 163 194
1261.5 12 13
1261.5 12 14
1263.0 55 60
1263.0 55 61
1264.5 107 108
1264.5 107 109
1266.0 64 67
1266.0 64 68
1267.5 43 78
1267.5 43 79
1269.0 16 29
1269.0 16 30
1270.5 89 104
1270.5 89 105
1272.0 88 115
1272.0 88 116
1273.5 127 142
1273.5 127 143
1275.0 87 104
1275.0 87 105
1276.5 129 158
